Dataset Name,Image Name,Assay Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody],Term Source 2 REF,Term Source 2 Accession,Comment [Antibody],Comment [Probe],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Image File Path],Comment [Image File Comments],Channels,Processed Data File,Visualisation Method,Expression Pattern Description
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,288_PAX6.svs",HuDSeN:605,"Embryo 243, slide 288",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,288_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,380_PAX6.svs",HuDSeN:605,"Embryo 243, slide 380",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,380_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,388_PAX6.svs",HuDSeN:605,"Embryo 243, slide 388",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,388_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,406_PAX6.svs",HuDSeN:605,"Embryo 243, slide 406",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,406_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,514_PAX6.svs",HuDSeN:605,"Embryo 243, slide 514",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,514_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,559_PAX6.svs",HuDSeN:605,"Embryo 243, slide 559",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,559_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,568_PAX6.svs",HuDSeN:605,"Embryo 243, slide 568",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,568_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,577_PAX6.svs",HuDSeN:605,"Embryo 243, slide 577",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,577_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,588_PAX6.svs",HuDSeN:605,"Embryo 243, slide 588",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,588_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,611_PAX6.svs",HuDSeN:605,"Embryo 243, slide 611",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,611_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"243,2,Head_Body,CS22,629_PAX6.svs",HuDSeN:605,"Embryo 243, slide 629",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/243,2,Head_Body,CS22,629_PAX6.svs",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_IHC_hires_CS22,"878,2,Head_Body,CS22,25_2015-08-04 13_59_58.scn",HuDSeN:605,"Embryo 878, slide 25",Homo sapiens,NCBITaxon,9606,CS22,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_IHC_hires_CS22/878,2,Head_Body,CS22,25_2015-08-04 13_59_58.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"10664,1,HEAD,CS18,16_2018-11-16 11_09_14.scn",HuDSeN:1183,"Embryo 10664, slide 16",Homo sapiens,NCBITaxon,9606,CS18,Immunohistochemistry,PAX6,NCBITaxon,NM_001604,Covance PRB-278P,,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/10664,1,HEAD,CS18,16_2018-11-16 11_09_14.scn",Original experimental image,Brightfield,,DAB,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"10755,6,HEAD,9 PCW,115_2018-11-16 11_07_22.scn",HuDSeN:1183,"Fetus 10755, slide 115",Homo sapiens,NCBITaxon,9606,9PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/10755,6,HEAD,9 PCW,115_2018-11-16 11_07_22.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"10797,2,HEAD,CS18,54_2018-11-16 13_11_39.scn",HuDSeN:1183,"Embryo 10797, slide 54",Homo sapiens,NCBITaxon,9606,CS18,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/10797,2,HEAD,CS18,54_2018-11-16 13_11_39.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"10798,2,HEAD,CS18,60_2018-11-16 13_13_35.scn",HuDSeN:1183,"Embryo 10798, slide 60",Homo sapiens,NCBITaxon,9606,CS18,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/10798,2,HEAD,CS18,60_2018-11-16 13_13_35.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"10872,2,HEAD,CS15,19_2018-11-16 11_12_26.scn",HuDSeN:1183,"Embryo 10872, slide 19",Homo sapiens,NCBITaxon,9606,CS15,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/10872,2,HEAD,CS15,19_2018-11-16 11_12_26.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"10936,3,HEAD,CS18,13_2018-11-16 13_16_22.scn",HuDSeN:1183,"Embryo 10936, slide 13",Homo sapiens,NCBITaxon,9606,CS18,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/10936,3,HEAD,CS18,13_2018-11-16 13_16_22.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"11209,2,TAIL,CS15,7_2018-11-16 10_40_23.scn",HuDSeN:1183,"Embryo 11209, slide 7",Homo sapiens,NCBITaxon,9606,CS15,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/11209,2,TAIL,CS15,7_2018-11-16 10_40_23.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"1183,1,HINDBRAIN,10 PCW,11_2018-11-16 11_30_42.scn",HuDSeN:1183,"Fetus 1183, slide 11",Homo sapiens,NCBITaxon,9606,10PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/1183,1,HINDBRAIN,10 PCW,11_2018-11-16 11_30_42.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"1183,3,FOREBRAIN,10 PCW,10_2018-11-16 11_26_03.scn",HuDSeN:1183,"Fetus 1183, slide 10",Homo sapiens,NCBITaxon,9606,10PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/1183,3,FOREBRAIN,10 PCW,10_2018-11-16 11_26_03.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"1183,3,FOREBRAIN,10 PCW,7_2018-11-16 11_22_37.scn",HuDSeN:1183,"Fetus 1183, slide 7",Homo sapiens,NCBITaxon,9606,10PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/1183,3,FOREBRAIN,10 PCW,7_2018-11-16 11_22_37.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"1295,1,TS FRONT,10 PCW,2_2018-11-16 11_48_15.scn",HuDSeN:1183,"Fetus 1295, slide 2",Homo sapiens,NCBITaxon,9606,10PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/1295,1,TS FRONT,10 PCW,2_2018-11-16 11_48_15.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"1295,1,TS FRONT,10 PCW,8_2018-11-16 11_58_37.scn",HuDSeN:1183,"Fetus 1295, block 1, slide 8",Homo sapiens,NCBITaxon,9606,10PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/1295,1,TS FRONT,10 PCW,8_2018-11-16 11_58_37.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"1295,2,MIDBRAIN,10 PCW,1_2018-11-16 11_37_44.scn",HuDSeN:1183,"Fetus 1295, block 2, slide 1",Homo sapiens,NCBITaxon,9606,10PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/1295,2,MIDBRAIN,10 PCW,1_2018-11-16 11_37_44.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"1295,6,HINDBRAIN,10 PCW,1_2018-11-16 11_43_13.scn",HuDSeN:1183,"Fetus 1295, block 6, slide 1",Homo sapiens,NCBITaxon,9606,10PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/1295,6,HINDBRAIN,10 PCW,1_2018-11-16 11_43_13.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"1295,6,HINDBRAIN,10 PCW,8_2018-11-16 11_56_26.scn",HuDSeN:1183,"Fetus 1295, block 6, slide 8",Homo sapiens,NCBITaxon,9606,10PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/1295,6,HINDBRAIN,10 PCW,8_2018-11-16 11_56_26.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"1634,7,BRAIN SLICE,10 PCW,10_2018-11-16 13_16_50.scn",HuDSeN:1183,"Fetus 1634, slide 10",Homo sapiens,NCBITaxon,9606,10PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/1634,7,BRAIN SLICE,10 PCW,10_2018-11-16 13_16_50.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"392,1,HEAD,9 PCW,121_2018-11-16 12_55_39.scn",HuDSeN:1183,"Fetus 392, slide 121",Homo sapiens,NCBITaxon,9606,9PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/392,1,HEAD,9 PCW,121_2018-11-16 12_55_39.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"392,1,HEAD,9 PCW,182_2018-11-16 12_57_34.scn",HuDSeN:1183,"Fetus 392, slide 182",Homo sapiens,NCBITaxon,9606,9PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/392,1,HEAD,9 PCW,182_2018-11-16 12_57_34.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"576,1,HEAD,9 PCW,296_2018-11-16 13_00_41.scn",HuDSeN:1183,"Fetus 576, slide 296",Homo sapiens,NCBITaxon,9606,9PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/576,1,HEAD,9 PCW,296_2018-11-16 13_00_41.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,"639,1,EMBRYO,CS19,33_2018-11-16 13_05_07.scn",HuDSeN:1183,"Embryo 639, slide 33",Homo sapiens,NCBITaxon,9606,CS19,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,"HDBR_PAX6_ISH_hires/639,1,EMBRYO,CS19,33_2018-11-16 13_05_07.scn",Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
HDBR_PAX6_ISH_hires,ImageCollection_0000000949_2018-11-16 12_06_48.scn,HuDSeN:1183,"Fetus 1343, slide 29",Homo sapiens,NCBITaxon,9606,9PCW,In situ hybridisation,,NCBITaxon,NM_001604,,nt 1457 - nt 2314,ENSG00000007372,PAX6,HDBR_PAX6_ISH_hires/ImageCollection_0000000949_2018-11-16 12_06_48.scn,Original experimental image,Brightfield,,NBT/BCIP,Neural tissue (strong)
